"Country Name","Country Code","Region","Income_Group",
"","MNG","Восточная Азия и Тихоокеанский регион (только развивающиеся страны)","Уровень дохода ниже среднего  ",
"","MNP","","Высокий уровень дохода",
"","MOZ","Африка к югу от Сахары (только развивающиеся страны)","Низкий уровень дохода",
"","MRT","Африка к югу от Сахары (только развивающиеся страны)","Уровень дохода ниже среднего  ",
"","MUS","Африка к югу от Сахары (только развивающиеся страны)","Уровень дохода выше среднего",
"","MWI","Африка к югу от Сахары (только развивающиеся страны)","Низкий уровень дохода",
"","MYS","Восточная Азия и Тихоокеанский регион (только развивающиеся страны)","Уровень дохода выше среднего",
"","NAC","","",
"","NAM","Африка к югу от Сахары (только развивающиеся страны)","Уровень дохода выше среднего",
"","NCL","","Высокий уровень дохода",
"","NER","Африка к югу от Сахары (только развивающиеся страны)","Низкий уровень дохода",
"","NGA","Африка к югу от Сахары (только развивающиеся страны)","Уровень дохода ниже среднего  ",
"","NIC","Латинская Америка и Карибский бассейн (только развивающиеся страны)","Уровень дохода ниже среднего  ",
"","NLD","","Высокий уровень дохода",
"","NOR","","Высокий уровень дохода",
"","NPL","Южная Азия","Низкий уровень дохода",
"","NRU","Восточная Азия и Тихоокеанский регион (только развивающиеся страны)","Уровень дохода выше среднего",
"","NZL","","Высокий уровень дохода",
"","OED","","",
"","OMN","","Высокий уровень дохода",
"","OSS","","",
"","PAK","Южная Азия","Уровень дохода ниже среднего  ",
"","PAN","","Высокий уровень дохода",
"","PER","Латинская Америка и Карибский бассейн (только развивающиеся страны)","Уровень дохода выше среднего",
"","PHL","Восточная Азия и Тихоокеанский регион (только развивающиеся страны)","Уровень дохода ниже среднего  ",
"","PLW","","Высокий уровень дохода",
"","PNG","Восточная Азия и Тихоокеанский регион (только развивающиеся страны)","Уровень дохода ниже среднего  ",
"","POL","","Высокий уровень дохода",
"","PRE","","",
"","PRI","","Высокий уровень дохода",
"","PRK","Восточная Азия и Тихоокеанский регион (только развивающиеся страны)","Низкий уровень дохода",
"","PRT","","Высокий уровень дохода",
"","PRY","Латинская Америка и Карибский бассейн (только развивающиеся страны)","Уровень дохода выше среднего",
"","PSE","Ближний Восток и Северная Африка (только развивающиеся страны)","Уровень дохода ниже среднего  ",
"","PSS","","",
"","PST","","",
"","PYF","","Высокий уровень дохода",
"","QAT","","Высокий уровень дохода",
"","ROU","Европа и Центральная Азия (только развивающиеся страны)","Уровень дохода выше среднего",
"Российская Федерация","RUS","Европа и Центральная Азия (только развивающиеся страны)","Уровень дохода выше среднего",
"","RWA","Африка к югу от Сахары (только развивающиеся страны)","Низкий уровень дохода",
"Южная Азия","SAS","","",
"","SAU","","Высокий уровень дохода",
"","SDN","Африка к югу от Сахары (только развивающиеся страны)","Уровень дохода ниже среднего  ",
"","SEN","Африка к югу от Сахары (только развивающиеся страны)","Уровень дохода ниже среднего  ",
"","SGP","","Высокий уровень дохода",
"","SLB","Восточная Азия и Тихоокеанский регион (только развивающиеся страны)","Уровень дохода ниже среднего  ",
"","SLE","Африка к югу от Сахары (только развивающиеся страны)","Низкий уровень дохода",
"","SLV","Латинская Америка и Карибский бассейн (только развивающиеся страны)","Уровень дохода ниже среднего  ",
"","SMR","","Высокий уровень дохода",
"","SOM","Африка к югу от Сахары (только развивающиеся страны)","Низкий уровень дохода",
"","SRB","Европа и Центральная Азия (только развивающиеся страны)","Уровень дохода выше среднего",
"Африка к югу от Сахары (только развивающиеся страны)","SSA","","",
"","SSD","Африка к югу от Сахары (только развивающиеся страны)","Низкий уровень дохода",
"Африка к югу от Сахары (все уровни дохода)","SSF","","",
"","SST","","",
"","STP","Африка к югу от Сахары (только развивающиеся страны)","Уровень дохода ниже среднего  ",
"","SUR","Латинская Америка и Карибский бассейн (только развивающиеся страны)","Уровень дохода выше среднего",
"","SVK","","Высокий уровень дохода",
"","SVN","","Высокий уровень дохода",
"","SWE","","Высокий уровень дохода",
"","SWZ","Африка к югу от Сахары (только развивающиеся страны)","Уровень дохода ниже среднего  ",
"","SXM","","Высокий уровень дохода",
"","SYC","","Высокий уровень дохода",
"","SYR","Ближний Восток и Северная Африка (только развивающиеся страны)","Низкий уровень дохода",
"","TCA","","Высокий уровень дохода",
"","TCD","Африка к югу от Сахары (только развивающиеся страны)","Низкий уровень дохода",
"","TEA","","",
"","TEC","","",
"","TGO","Африка к югу от Сахары (только развивающиеся страны)","Низкий уровень дохода",
"","THA","Восточная Азия и Тихоокеанский регион (только развивающиеся страны)","Уровень дохода выше среднего",
"","TJK","Европа и Центральная Азия (только развивающиеся страны)","Низкий уровень дохода",
"","TKM","Европа и Центральная Азия (только развивающиеся страны)","Уровень дохода выше среднего",
"","TLA","","",
"","TLS","Восточная Азия и Тихоокеанский регион (только развивающиеся страны)","Уровень дохода ниже среднего  ",
"","TMN","","",
"","TON","Восточная Азия и Тихоокеанский регион (только развивающиеся страны)","Уровень дохода выше среднего",
"","TSA","","",
"","TSS","","",
"","TTO","","Высокий уровень дохода",
"","TUN","Ближний Восток и Северная Африка (только развивающиеся страны)","Уровень дохода ниже среднего  ",
"","TUR","Европа и Центральная Азия (только развивающиеся страны)","Уровень дохода выше среднего",
"","TUV","Восточная Азия и Тихоокеанский регион (только развивающиеся страны)","Уровень дохода выше среднего",
"","TZA","Африка к югу от Сахары (только развивающиеся страны)","Низкий уровень дохода",
"","UGA","Африка к югу от Сахары (только развивающиеся страны)","Низкий уровень дохода",
"","UKR","Европа и Центральная Азия (только развивающиеся страны)","Уровень дохода ниже среднего  ",
"Уровень дохода выше среднего","UMC","","",
"","URY","","Высокий уровень дохода",
"","USA","","Высокий уровень дохода",
"","UZB","Европа и Центральная Азия (только развивающиеся страны)","Уровень дохода ниже среднего  ",
"","VCT","Латинская Америка и Карибский бассейн (только развивающиеся страны)","Уровень дохода выше среднего",
"","VEN","Латинская Америка и Карибский бассейн (только развивающиеся страны)","Уровень дохода выше среднего",
"","VGB","","Высокий уровень дохода",
"","VIR","","Высокий уровень дохода",
"","VNM","Восточная Азия и Тихоокеанский регион (только развивающиеся страны)","Уровень дохода ниже среднего  ",
"","VUT","Восточная Азия и Тихоокеанский регион (только развивающиеся страны)","Уровень дохода ниже среднего  ",
"","WLD","","",
"","WSM","Восточная Азия и Тихоокеанский регион (только развивающиеся страны)","Уровень дохода выше среднего",
"","XKX","Европа и Центральная Азия (только развивающиеся страны)","Уровень дохода выше среднего",
"","YEM","Ближний Восток и Северная Африка (только развивающиеся страны)","Низкий уровень дохода",
"","ZAF","Африка к югу от Сахары (только развивающиеся страны)","Уровень дохода выше среднего",
"","ZMB","Африка к югу от Сахары (только развивающиеся страны)","Уровень дохода ниже среднего  ",
"","ZWE","Африка к югу от Сахары (только развивающиеся страны)","Уровень дохода ниже среднего  ",
