Date,Close,Open,High,Low,Vol.,Change %
2003-03-24,2548.37,2712.62,2712.62,2548.37,-,-6.14%
2003-03-21,2715.06,2607.7,2731.57,2603.85,-,4.23%
2003-03-20,2604.85,2607.76,2657.5,2551.91,-,-0.40%
2003-03-19,2615.22,2576.96,2675.02,2524.52,-,1.18%
2003-03-18,2584.61,2490.78,2624.98,2490.78,-,3.92%
2003-03-17,2487.12,2398.11,2520.54,2327.87,-,3.49%
2003-03-14,2403.19,2356.36,2482.14,2356.36,-,2.08%
2003-03-13,2354.31,2203.97,2354.31,2203.97,-,6.87%
2003-03-12,2202.96,2300.11,2319.65,2188.75,-,-4.44%
2003-03-11,2305.3,2324.01,2348.08,2258.57,-,-1.02%
2003-03-10,2329.04,2437.32,2447.98,2328.81,-,-4.22%
2003-03-07,2431.66,2433.72,2467.57,2393.59,-,-0.24%
2003-03-06,2437.51,2500.64,2531.63,2433.32,-,-2.42%
2003-03-05,2498.02,2495.46,2540.06,2456.4,-,-0.12%
2003-03-04,2501.03,2541.81,2541.81,2477.06,-,-1.91%
2003-03-03,2549.65,2553.74,2600.76,2535.3,-,0.10%
2003-02-28,2547.05,2508.89,2581.48,2480.72,-,1.35%
2003-02-27,2513.22,2453.34,2513.41,2435.64,-,2.57%
2003-02-26,2450.2,2488.92,2518.85,2433.15,-,-1.42%
2003-02-25,2485.5,2563.37,2563.37,2448.98,-,-3.34%
2003-02-24,2571.35,2648.49,2648.55,2571.35,-,-2.93%
2003-02-21,2648.87,2591.68,2648.87,2565.14,-,2.22%
2003-02-20,2591.26,2631.48,2669.49,2575.95,-,-1.27%
2003-02-19,2624.65,2734.81,2734.81,2616.91,-,-4.21%
2003-02-18,2740.14,2707.57,2750.08,2673.91,-,1.15%
2003-02-17,2708.97,2683.48,2722.3,2679.95,-,1.29%
2003-02-14,2674.46,2558.25,2711.59,2558.25,-,4.66%
2003-02-13,2555.27,2566.95,2599.44,2535.04,-,-0.62%
2003-02-12,2571.25,2621.45,2621.45,2565.02,-,-2.12%
2003-02-11,2627.0,2593.15,2664.16,2584.68,-,1.58%
2003-02-10,2586.09,2573.26,2593.0,2528.9,-,0.65%
2003-02-07,2569.34,2649.02,2671.7,2561.73,-,-3.01%
2003-02-06,2649.0,2714.12,2720.18,2617.66,-,-2.82%
2003-02-05,2725.88,2626.85,2738.11,2584.88,-,3.53%
2003-02-04,2632.98,2750.04,2750.04,2618.14,-,-4.32%
2003-02-03,2751.99,2750.4,2802.93,2735.58,-,0.15%
2003-01-31,2747.83,2687.72,2753.26,2622.41,-,2.01%
2003-01-30,2693.78,2711.84,2742.92,2665.52,-,-0.47%
2003-01-29,2706.57,2667.69,2743.1,2563.92,-,1.32%
2003-01-28,2671.36,2649.96,2705.22,2616.04,-,1.04%
2003-01-27,2643.8,2716.42,2728.28,2615.67,-,-2.72%
2003-01-24,2717.82,2813.13,2827.43,2714.89,-,-3.32%
2003-01-23,2811.22,2804.13,2862.59,2776.72,-,0.28%
2003-01-22,2803.25,2866.35,2897.48,2765.56,-,-2.35%
2003-01-21,2870.57,2900.88,2955.75,2860.34,-,-0.79%
2003-01-20,2893.55,2927.58,2966.78,2892.93,-,-0.87%
2003-01-17,2918.82,3047.11,3047.11,2918.26,-,-4.43%
2003-01-16,3054.11,3047.24,3080.27,3023.32,-,0.15%
2003-01-15,3049.4,3107.61,3145.66,3036.94,-,-1.59%
2003-01-14,3098.72,3063.49,3141.33,3055.29,-,1.24%
2003-01-13,3060.65,3039.91,3127.12,3039.91,-,0.77%
2003-01-10,3037.33,3037.8,3093.78,2986.75,-,-0.01%
2003-01-09,3037.68,3000.24,3043.64,2932.93,-,1.49%
2003-01-08,2993.0,3108.02,3108.02,2993.0,-,-3.85%
2003-01-07,3112.77,3156.56,3156.56,3069.11,-,-1.41%
2003-01-06,3157.25,3101.17,3157.25,3033.77,-,2.08%
2003-01-03,3092.94,3098.89,3124.86,3070.03,-,-0.39%
2003-01-02,3105.04,2898.68,3105.04,2898.68,-,7.34%
2002-12-30,2892.63,2838.87,2900.95,2836.01,-,1.85%
2002-12-27,2840.0,2996.67,2996.67,2840.0,-,-5.36%
2002-12-23,3000.84,3022.31,3048.29,2961.78,-,-0.77%
2002-12-20,3024.22,2970.28,3039.12,2948.56,-,2.12%
2002-12-19,2961.41,3031.98,3099.32,2925.87,-,-2.03%
2002-12-18,3022.69,3136.04,3136.04,3022.69,-,-3.74%
2002-12-17,3139.97,3209.65,3222.4,3136.09,-,-2.04%
2002-12-16,3205.29,3074.51,3205.29,3029.74,-,4.17%
2002-12-13,3077.06,3110.79,3122.53,3034.12,-,-1.12%
2002-12-12,3111.88,3193.59,3208.59,3098.26,-,-2.63%
2002-12-11,3196.05,3166.46,3212.62,3134.37,-,0.89%
2002-12-10,3167.99,3062.87,3173.96,3062.87,-,3.34%
2002-12-09,3065.57,3206.36,3223.42,3065.57,-,-4.43%
2002-12-06,3207.53,3221.68,3245.76,3108.76,-,-0.53%
2002-12-05,3224.74,3327.75,3386.27,3189.12,-,-2.89%
2002-12-04,3320.75,3275.8,3331.14,3235.58,-,1.23%
2002-12-03,3280.49,3389.13,3410.95,3278.63,-,-2.95%
