Date,Open
12.02.2019,1201
11.02.2019,1198
08.02.2019,1199
07.02.2019,1213
06.02.2019,1222
05.02.2019,1212
04.02.2019,1213
01.02.2019,1213
31.01.2019,1210
30.01.2019,1190
29.01.2019,1176
28.01.2019,1192
25.01.2019,1190
24.01.2019,1187
23.01.2019,1168
22.01.2019,1170
21.01.2019,1175
18.01.2019,1164
17.01.2019,1156
16.01.2019,1148
15.01.2019,1146
14.01.2019,1148
11.01.2019,1146
10.01.2019,1139
09.01.2019,1127
08.01.2019,1116
04.01.2019,1090
03.01.2019,1069
29.12.2018,1069
28.12.2018,1055
27.12.2018,1062
26.12.2018,1051
25.12.2018,1064
24.12.2018,1073
21.12.2018,1084
20.12.2018,1096
19.12.2018,1099
18.12.2018,1110
17.12.2018,1115
14.12.2018,1130
13.12.2018,1123
12.12.2018,1135
11.12.2018,1133
10.12.2018,1151
07.12.2018,1137
06.12.2018,1154
05.12.2018,1142
04.12.2018,1156
03.12.2018,1131
30.11.2018,1139
29.11.2018,1123
28.11.2018,1099
27.11.2018,1085
26.11.2018,1115
23.11.2018,1136
22.11.2018,1131
21.11.2018,1113
20.11.2018,1139
19.11.2018,1134
16.11.2018,1140
15.11.2018,1119
14.11.2018,1095
13.11.2018,1108
12.11.2018,1113
09.11.2018,1145
08.11.2018,1161
07.11.2018,1148
06.11.2018,1133
02.11.2018,1133
01.11.2018,1125
31.10.2018,1108
30.10.2018,1105
29.10.2018,1097
26.10.2018,1118
25.10.2018,1114
24.10.2018,1111
23.10.2018,1111
22.10.2018,1129
19.10.2018,1139
18.10.2018,1158
17.10.2018,1168
16.10.2018,1145
15.10.2018,1146
12.10.2018,1127
11.10.2018,1123
10.10.2018,1162
09.10.2018,1163
08.10.2018,1159
05.10.2018,1155
04.10.2018,1192
03.10.2018,1178
02.10.2018,1200
01.10.2018,1192
28.09.2018,1184
27.09.2018,1160
26.09.2018,1169
25.09.2018,1163
24.09.2018,1150
21.09.2018,1141
20.09.2018,1134
19.09.2018,1124
18.09.2018,1098
17.09.2018,1093
14.09.2018,1088
13.09.2018,1067
12.09.2018,1061
11.09.2018,1042
10.09.2018,1046
07.09.2018,1056
06.09.2018,1070
05.09.2018,1078
04.09.2018,1086
03.09.2018,1093
31.08.2018,1074
30.08.2018,1090
29.08.2018,1075
28.08.2018,1079
27.08.2018,1071
24.08.2018,1043
23.08.2018,1062
22.08.2018,1075
21.08.2018,1067
20.08.2018,1064
17.08.2018,1066
16.08.2018,1062
15.08.2018,1083
14.08.2018,1067
13.08.2018,1053
10.08.2018,1084
09.08.2018,1096
08.08.2018,1145
07.08.2018,1138
06.08.2018,1142
03.08.2018,1140
02.08.2018,1155
01.08.2018,1168
31.07.2018,1159
30.07.2018,1147
27.07.2018,1147
26.07.2018,1147
25.07.2018,1128
24.07.2018,1131
23.07.2018,1116
20.07.2018,1123
19.07.2018,1149
18.07.2018,1154
17.07.2018,1175
16.07.2018,1179
13.07.2018,1177
12.07.2018,1178
11.07.2018,1202
10.07.2018,1193
09.07.2018,1176
06.07.2018,1169
05.07.2018,1145
04.07.2018,1148
03.07.2018,1151
02.07.2018,1151
29.06.2018,1134
28.06.2018,1123
27.06.2018,1119
26.06.2018,1123
25.06.2018,1119
22.06.2018,1113
21.06.2018,1115
20.06.2018,1098
19.06.2018,1100
18.06.2018,1114
15.06.2018,1134
14.06.2018,1143
13.06.2018,1141
11.06.2018,1150
09.06.2018,1146
08.06.2018,1167
07.06.2018,1182
06.06.2018,1175
05.06.2018,1179
04.06.2018,1164
01.06.2018,1159
31.05.2018,1168
30.05.2018,1152
29.05.2018,1170
28.05.2018,1166
25.05.2018,1174
24.05.2018,1180
23.05.2018,1192
22.05.2018,1193
21.05.2018,1178
18.05.2018,1177
17.05.2018,1195
16.05.2018,1180
15.05.2018,1198
14.05.2018,1193
11.05.2018,1183
10.05.2018,1153
08.05.2018,1147
07.05.2018,1155
04.05.2018,1138
03.05.2018,1133
02.05.2018,1153
30.04.2018,1161
28.04.2018,1166
